iter	Passed	Remaining
874	16500	2357
875	16517	2338
876	16534	2318
877	16550	2299
878	16567	2280
879	16585	2261
880	16602	2242
881	16618	2223
882	16636	2204
883	16651	2185
884	16670	2166
885	16687	2147
886	16706	2128
887	16722	2109
888	16740	2090
889	16760	2071
890	16776	2052
891	16795	2033
892	16814	2014
893	16833	1995
894	16851	1977
895	16868	1957
896	16886	1939
897	16903	1919
898	16918	1900
899	16937	1881
900	16954	1862
901	16973	1844
902	16993	1825
903	17010	1806
904	17028	1787
905	17044	1768
906	17060	1749
907	17079	1730
908	17097	1711
909	17113	1692
910	17132	1673
911	17148	1654
912	17166	1635
913	17180	1616
914	17197	1597
915	17214	1578
916	17231	1559
917	17246	1540
918	17264	1521
919	17283	1502
920	17299	1483
921	17315	1464
922	17335	1446
923	17353	1427
924	17369	1408
925	17388	1389
926	17407	1370
927	17425	1352
928	17443	1333
929	17462	1314
930	17481	1295
931	17498	1276
932	17514	1257
933	17531	1238
934	17546	1219
935	17562	1200
936	17580	1182
937	17597	1163
938	17612	1144
939	17629	1125
940	17648	1106
941	17665	1087
942	17684	1068
943	17703	1050
944	17722	1031
945	17739	1012
946	17757	993
947	17774	974
948	17794	956
949	17810	937
950	17828	918
951	17847	899
952	17865	881
953	17882	862
954	17898	843
955	17915	824
956	17931	805
957	17947	786
958	17966	768
959	17985	749
960	18002	730
961	18019	711
962	18035	692
963	18054	674
964	18072	655
965	18087	636
966	18106	617
967	18123	599
968	18141	580
969	18160	561
970	18176	542
971	18194	524
972	18208	505
973	18225	486
974	18242	467
975	18259	448
976	18276	430
977	18292	411
978	18311	392
979	18327	374
980	18344	355
981	18362	336
982	18379	317
983	18398	299
984	18417	280
985	18435	261
986	18451	243
987	18469	224
988	18487	205
989	18507	186
990	18526	168
991	18543	149
992	18560	130
993	18577	112
994	18596	93
995	18614	74
996	18632	56
997	18650	37
998	18666	18
999	18687	0
